,0
0,images/2.8_dig5_20220517-050844.jpg
1,images/4.0_4_dig6_20220522-030457.jpg
2,images/2.9_3_dig6_20220530-023421.jpg
3,images/6.9_7_dig7_20220522-061857.jpg
4,images/0.7_7_dig6_20220527-041457.jpg
5,images/4.8_6_dig5_20220522-183039.jpg
6,images/8.6_10_dig7_20220521-072643.jpg
7,images/9.0_9_dig8_20220529-051539.jpg
8,images/8.0_8_dig4_20220521-112422.jpg
9,images/6.9_7_dig6_20220523-032446.jpg
10,images/8.0_8_dig6_20220521-112422.jpg
11,images/3.9_4_dig8_20220526-200420.jpg
12,images/8.9_9_dig6_20220524-093838.jpg
13,images/9.0_9_dig7_20220521-025959.jpg
14,images/7.5_10_dig6_20220520-020612.jpg
15,images/3.2_3_dig8_20220525-052608.jpg
16,images/4.1_4_dig7_20220524-142446.jpg
17,images/2.1_2_dig4_20220524-203009.jpg
18,images/4.9_5_dig8_20220523-211335.jpg
19,images/2.1_2_dig6_20220521-213509.jpg
20,images/3.0_3_dig6_20220521-230718.jpg
21,images/8.0_8_dig4_20220521-172748.jpg
22,images/7.8_8_dig7_20220522-100202.jpg
23,images/1.7_10_dig7_20220524-202340.jpg
24,images/5.1_5_dig6_20220523-201744.jpg
25,images/5.3_10_dig8_20220528-205856.jpg
26,images/3.7_4_dig8_20220528-080749.jpg
27,images/5.0_5_dig8_20220528-072901.jpg
28,images/6.1_6_dig7_20220526-121440.jpg
29,images/5.6_ziffer4_2020-05-18_03-10-16.jpg
30,images/4.7_10_dig6_20220522-194853.jpg
31,images/7.0_7_dig8_20220519-050439.jpg
32,images/7.4_10_dig7_20220528-235844.jpg
33,images/3.7_dig8_20220516-095429.jpg
34,images/5.0_5_dig6_20220524-002545.jpg
35,images/3.3_10_dig7_20220521-050113.jpg
36,images/4.7_10_dig7_20220523-215033.jpg
37,images/8.0_8_dig7_20220521-210603.jpg
38,images/5.8_6_dig7_20220522-123637.jpg
39,images/0.9_1_dig6_20220521-171316.jpg
40,images/3.7_dig8_20220516-080747.jpg
41,images/9.1_9_dig5_20220527-041948.jpg
42,images/1.4_10_dig7_20220524-172602.jpg
43,images/1.2000000000000002_1_dig7_20220526-191330.jpg
44,images/7.7_10_dig7_20220521-131556.jpg
45,images/8.0_8_dig4_20220521-203657.jpg
46,images/4.8_5_dig6_20220523-181138.jpg
47,images/9.2_10_dig8_20220530-093102.jpg
48,images/9.0_9_dig7_20220522-021627.jpg
49,images/1.5_10_dig7_20220523-144345.jpg
50,images/0.30000000000000004_10_dig7_20220527-042930.jpg
51,images/2.2_2_dig7_20220523-110531.jpg
52,images/6.8_7_dig7_20220521-015656.jpg
53,images/4.5_dig8_20220522-050805.jpg
54,images/6.0_6_dig5_20220523-202315.jpg
55,images/0.6_10_dig6_20220522-155114.jpg
56,images/6.2_6_dig7_20220522-114353.jpg
57,images/6.2_dig7_20220516-224115.jpg
58,images/3.6_ziffer5_2020-05-27_08-40-19.jpg
59,images/6.6_10_dig8_20220530-092323.jpg
60,images/5.4_10_dig7_20220521-060416.jpg
61,images/4.1_4_dig7_20220525-051406.jpg
62,images/2.7_10_dig7_20220523-112003.jpg
63,images/3.9_4_dig5_20220525-051406.jpg
64,images/7.8_8_dig5_20220524-051112.jpg
65,images/9.0_9_dig7_20220524-120859.jpg
66,images/9.1_9_dig5_20220527-154829.jpg
67,images/5.4_dig7_20220516-064058.jpg
68,images/5.9_6_dig6_20220522-100653.jpg
69,images/3.7_dig8_20220516-091050.jpg
70,images/1.2_10_dig6_20220526-190839.jpg
71,images/4.5_10_dig8_20220529-095003.jpg
72,images/4.9_5_dig5_20220523-103625.jpg
73,images/9.9_0_dig4_20220519-000602.jpg
74,images/4.2_4_dig6_20220523-231300.jpg
75,images/9.9_0_dig1_20220521-220108.jpg
76,images/4.7_6_dig5_20220522-161451.jpg
77,images/1.8000000000000003_2_dig7_20220521-064702.jpg
78,images/6.2_dig7_20220519-203134.jpg
79,images/8.0_8_dig4_20220521-132837.jpg
80,images/0_dig2_20220519-235204.jpg
